Index,SiteId,Site,Satellite,AntennaDiameterM,FeedHeightM,BoresightElevationDeg,OuterAngleDeg,InnerAngleDeg,WorstExceedancePercent,MaximumIOverNDb,RetaskDutyPercent,ShutdownDutyPercent,Feasible,ResultSource,ElapsedSeconds,CompletedUtc
1,fairmont_wv_goes_east,"Fairmont, WV",GOES East,16.4,5,44.2809003794042,14.5,1,0,-6.29971147099207,0.954042413999891,0.0272583546857112,1,new run,50.5066019,02-Sep-2026 01:11:15
2,fairmont_wv_goes_west,"Fairmont, WV",GOES West,16.4,5,16.7694849243474,1,1,0,-6.51421116965244,0,0.109033418742845,1,new run,40.5642917,02-Sep-2026 01:11:56
3,fairmont_wv_goes_backup,"Fairmont, WV",GOES Backup,16.4,5,37.963306879236,43,1.5,0,-6.70250592808807,18.5841707124308,0.0217793749319395,1,new run,43.052152,02-Sep-2026 01:12:39
4,sioux_falls_sd_goes_west,"Sioux Falls, SD",GOES West,8.1,7.4,25.6975108702209,120,3.5,0,-6.66891904832255,79.5382746051033,0.224769611148573,1,new run,42.1026321,02-Sep-2026 01:13:21
5,sioux_falls_sd_goes_backup,"Sioux Falls, SD",GOES Backup,8.1,7.4,39.135212832567,106.5,21,0,-6.16837639738844,78.6693639020005,3.19734771858845,1,new run,43.8148885,02-Sep-2026 01:14:05
6,sioux_falls_sd_goes_east,"Sioux Falls, SD",GOES East,8.1,7.4,35.3610858118896,89,16.5,0,-6.39594158293775,63.7221847606204,2.32436211114995,1,new run,42.8762743,02-Sep-2026 01:14:48
7,suitland_md_goes_east,"Suitland, MD",GOES East,9.1,24,45.1911583044409,100,9,0,-6.29539073064868,70.4232283464567,0.308711270767849,1,new run,41.2046137,02-Sep-2026 01:15:29
8,suitland_md_goes_west,"Suitland, MD",GOES West,9.1,24,14.5242288432022,120.5,2.5,0,-7.90986247562665,67.9972026467266,0.42658284687921,1,new run,40.7592534,02-Sep-2026 01:16:10
9,suitland_md_goes_backup,"Suitland, MD",GOES Backup,9.1,24,36.7515350661722,112,3.5,0,-7.74652193377074,72.1205657835653,0.140323304894477,1,new run,39.9726331,02-Sep-2026 01:16:50
10,wallops_va_goes_east,"Wallops, VA",GOES East,16.4,5,46.2414517653258,19.5,2.5,0,-6.34088913067922,1.10595989498967,0.0376141859215476,1,new run,40.2458017,02-Sep-2026 01:17:30
11,wallops_va_goes_west,"Wallops, VA",GOES West,16.4,5,13.6933494338086,1.5,1.5,0,-7.55969989763696,0,0.312796737976875,1,new run,39.9159134,02-Sep-2026 01:18:10
12,wallops_va_goes_backup,"Wallops, VA",GOES Backup,16.4,5,36.6579280182664,45.5,1.5,0,-7.02703159424269,19.8290789253198,0.0385972651080723,1,new run,42.2188335,02-Sep-2026 01:18:52
