OuterAngleDeg,InnerAngleDeg,WorstExceedancePercent,RobustExceedancePercent,MedianExceedancePercent,MaximumIOverNDb,P95IOverNDb,PracticalPercentileIOverNDb,RobustAvailabilityPercent,RetaskDutyPercent,ShutdownDutyPercent,Feasible,PracticalFeasible,Score,SearchStage
0,0,0.194390447098028,0.194390447098028,0.0694251596778673,7.77299100864575,-27.4362003044638,3.24427996389486,99.805609552902,0,0,0,0,0,coarse
0.5,0,0.194390447098028,0.194390447098028,0.0694251596778673,7.77299100864575,-27.4362003044638,3.24427996389486,99.805609552902,0,0,0,0,0.5,coarse
0.5,0.5,0.194390447098028,0.194390447098028,0.0694251596778673,7.77299100864575,-27.4362003044638,3.24427996389486,99.805609552902,0,0,0,0,1,coarse
1,0,0.194390447098028,0.194390447098028,0.0694251596778673,7.77299100864575,-27.4362003044638,3.24427996389486,99.805609552902,0,0,0,0,1,coarse
1,0.5,0.194390447098028,0.194390447098028,0.0694251596778673,7.77299100864575,-27.4362003044638,3.24427996389486,99.805609552902,0,0,0,0,1.5,coarse
1,1,0.194390447098028,0.194390447098028,0.0694251596778673,7.77299100864575,-27.4362003044638,3.24427996389486,99.805609552902,0,0,0,0,2,coarse
2,0,0.194390447098028,0.194390447098028,0.0694251596778673,7.77299100864575,-27.4362003044638,3.24427996389486,99.805609552902,0.0217793749319395,0,0,0,2,coarse
2,0.5,0.194390447098028,0.194390447098028,0.0694251596778673,7.77299100864575,-27.4362003044638,3.24427996389486,99.805609552902,0.0217793749319395,0,0,0,2.5,coarse
2,1,0.194390447098028,0.194390447098028,0.0694251596778673,7.77299100864575,-27.4362003044638,3.24427996389486,99.805609552902,0.0217793749319395,0,0,0,3,coarse
2,2,0.194390447098028,0.194390447098028,0.0555401277422938,7.77299100864575,-27.4362003044638,3.24427996389486,99.805609552902,0,0.0217793749319395,0,0,4,coarse
3,0,0.194390447098028,0.194390447098028,0.0694251596778673,7.77299100864575,-27.4362003044638,3.24427996389486,99.805609552902,0.081672655994773,0,0,0,3,coarse
3,0.5,0.194390447098028,0.194390447098028,0.0694251596778673,7.77299100864575,-27.4362003044638,3.24427996389486,99.805609552902,0.081672655994773,0,0,0,3.5,coarse
3,1,0.194390447098028,0.194390447098028,0.0694251596778673,7.77299100864575,-27.4362003044638,3.24427996389486,99.805609552902,0.081672655994773,0,0,0,4,coarse
3,2,0.194390447098028,0.194390447098028,0.0555401277422938,7.77299100864575,-27.4362003044638,3.24427996389486,99.805609552902,0.0598932810628335,0.0217793749319395,0,0,5,coarse
3,3,0.194390447098028,0.194390447098028,0.0555401277422938,7.77299100864575,-27.6233847628913,3.24427996389486,99.805609552902,0,0.081672655994773,0,0,6,coarse
