OuterAngleDeg,InnerAngleDeg,WorstExceedancePercent,RobustExceedancePercent,MedianExceedancePercent,MaximumIOverNDb,P95IOverNDb,PracticalPercentileIOverNDb,RobustAvailabilityPercent,RetaskDutyPercent,ShutdownDutyPercent,Feasible,PracticalFeasible,Score,SearchStage
0,0,0.555401277422938,0.555401277422938,0.277700638711469,18.4418044058197,-26.4905160941107,14.4504009009564,99.4445987225771,0,0,0,0,0,coarse
0.5,0,0.555401277422938,0.555401277422938,0.277700638711469,18.4418044058197,-26.4905160941107,14.4504009009564,99.4445987225771,0.0109033418742845,0,0,0,0.5,coarse
0.5,0.5,0.555401277422938,0.555401277422938,0.263815606775896,18.4418044058197,-26.5250969790715,13.9394752624949,99.4445987225771,0,0.0109033418742845,0,0,1,coarse
1,0,0.555401277422938,0.555401277422938,0.277700638711469,18.4418044058197,-26.4905160941107,14.4504009009564,99.4445987225771,0.0272583546857112,0,0,0,1,coarse
1,0.5,0.555401277422938,0.555401277422938,0.263815606775896,18.4418044058197,-26.5250969790715,13.9394752624949,99.4445987225771,0.0163550128114267,0.0109033418742845,0,0,1.5,coarse
1,1,0.555401277422938,0.555401277422938,0.249930574840322,18.4418044058197,-26.6711624194153,13.9394752624949,99.4445987225771,0,0.0272583546857112,0,0,2,coarse
2,0,0.555401277422938,0.555401277422938,0.277700638711469,18.4418044058197,-26.4905160941107,14.4504009009564,99.4445987225771,0.0436133674971379,0,0,0,2,coarse
2,0.5,0.555401277422938,0.555401277422938,0.263815606775896,18.4418044058197,-26.5250969790715,13.9394752624949,99.4445987225771,0.0327100256228534,0.0109033418742845,0,0,2.5,coarse
2,1,0.555401277422938,0.555401277422938,0.249930574840322,18.4418044058197,-26.6711624194153,13.9394752624949,99.4445987225771,0.0163550128114267,0.0272583546857112,0,0,3,coarse
2,2,0.555401277422938,0.555401277422938,0.249930574840322,18.4418044058197,-26.8308096865211,13.9394752624949,99.4445987225771,0,0.0436133674971379,0,0,4,coarse
3,0,0.555401277422938,0.555401277422938,0.277700638711469,18.4418044058197,-26.4905160941107,14.4504009009564,99.4445987225771,0.0817750640571335,0,0,0,3,coarse
3,0.5,0.555401277422938,0.555401277422938,0.263815606775896,18.4418044058197,-26.5250969790715,13.9394752624949,99.4445987225771,0.070871722182849,0.0109033418742845,0,0,3.5,coarse
3,1,0.555401277422938,0.555401277422938,0.249930574840322,18.4418044058197,-26.6711624194153,13.9394752624949,99.4445987225771,0.0545167093714223,0.0272583546857112,0,0,4,coarse
3,2,0.555401277422938,0.555401277422938,0.249930574840322,18.4418044058197,-26.8308096865211,13.9394752624949,99.4445987225771,0.0381616965599956,0.0436133674971379,0,0,5,coarse
3,3,0.555401277422938,0.555401277422938,0.249930574840322,18.4418044058197,-27.0678524010903,13.9394752624949,99.4445987225771,0,0.0817750640571335,0,0,6,coarse
5,0,0.44432102193835,0.44432102193835,0.222160510969175,18.4418044058197,-26.4905160941107,14.4504009009564,99.5556789780616,0.185356811862836,0,0,0,5,coarse
5,0.5,0.44432102193835,0.44432102193835,0.208275479033602,18.4418044058197,-26.5250969790715,13.9394752624949,99.5556789780616,0.174453469988551,0.0109033418742845,0,0,5.5,coarse
5,1,0.44432102193835,0.44432102193835,0.194390447098028,18.4418044058197,-26.6711624194153,13.9394752624949,99.5556789780616,0.158098457177125,0.0272583546857112,0,0,6,coarse
5,2,0.44432102193835,0.44432102193835,0.194390447098028,18.4418044058197,-26.8308096865211,13.9394752624949,99.5556789780616,0.141743444365698,0.0436133674971379,0,0,7,coarse
5,3,0.44432102193835,0.44432102193835,0.194390447098028,18.4418044058197,-27.0678524010903,13.9394752624949,99.5556789780616,0.103581747805702,0.0817750640571335,0,0,8,coarse
5,5,0.44432102193835,0.44432102193835,0.194390447098028,18.4418044058197,-27.4765414587581,13.9394752624949,99.5556789780616,0,0.185356811862836,0,0,10,coarse
10,0,0.305470702582616,0.305470702582616,0.0971952235490142,18.4418044058197,-26.4905160941107,14.4504009009564,99.6945292974174,0.517908739028512,0,0,0,10,coarse
10,0.5,0.277700638711469,0.277700638711469,0.0971952235490142,18.4418044058197,-26.5250969790715,13.9394752624949,99.7222993612885,0.507005397154228,0.0109033418742845,0,0,10.5,coarse
10,1,0.249930574840322,0.249930574840322,0.0971952235490142,18.4418044058197,-26.6711624194153,13.9394752624949,99.7500694251597,0.490650384342801,0.0272583546857112,0,0,11,coarse
10,2,0.249930574840322,0.249930574840322,0.0971952235490142,18.4418044058197,-26.8308096865211,13.9394752624949,99.7500694251597,0.474295371531374,0.0436133674971379,0,0,12,coarse
10,3,0.249930574840322,0.249930574840322,0.0971952235490142,18.4418044058197,-27.0678524010903,13.9394752624949,99.7500694251597,0.436133674971379,0.0817750640571335,0,0,13,coarse
10,5,0.249930574840322,0.249930574840322,0.0971952235490142,18.4418044058197,-27.4765414587581,13.9394752624949,99.7500694251597,0.383877159309021,0.185356811862836,0,0,15,coarse
10,10,0.249930574840322,0.249930574840322,0.0971952235490142,18.4418044058197,-28.5300918697792,13.9394752624949,99.7500694251597,0,0.517908739028512,0,0,20,coarse
15,0,0.0555401277422938,0.0555401277422938,0,14.3683417736458,-26.4905160941107,-6.80944068245916,99.9444598722577,1.05762416180559,0,0,1,15,coarse
