OuterAngleDeg,InnerAngleDeg,WorstExceedancePercent,RobustExceedancePercent,MedianExceedancePercent,MaximumIOverNDb,P95IOverNDb,PracticalPercentileIOverNDb,RobustAvailabilityPercent,RetaskDutyPercent,ShutdownDutyPercent,Feasible,PracticalFeasible,Score,SearchStage
0,0,0.249930574840322,0.249930574840322,0.0277700638711469,10.6870035554111,-27.9417191913401,1.74955136157479,99.7500694251597,0,0,0,0,0,coarse
0.5,0,0.249930574840322,0.249930574840322,0.0277700638711469,10.6870035554111,-27.9417191913401,1.74955136157479,99.7500694251597,0.0218066837485689,0,0,0,0.5,coarse
0.5,0.5,0.194390447098028,0.194390447098028,0,2.25880791604288,-27.999260144746,-0.577171647794538,99.805609552902,0,0.0218066837485689,0,0,1,coarse
1,0,0.249930574840322,0.249930574840322,0.0277700638711469,10.6870035554111,-27.9417191913401,1.74955136157479,99.7500694251597,0.109033418742845,0,0,0,1,coarse
1,0.5,0.194390447098028,0.194390447098028,0,2.25880791604288,-27.999260144746,-0.577171647794538,99.805609552902,0.0872267349942757,0.0218066837485689,0,0,1.5,coarse
1,1,0,0,0,-6.51421116965244,-28.2527998104635,-11.2944901540885,100,0,0.109033418742845,1,1,2,coarse
2,0,0.249930574840322,0.249930574840322,0.0277700638711469,10.6870035554111,-27.9417191913401,1.74955136157479,99.7500694251597,0.245325192171401,0,0,0,2,coarse
2,0.5,0.194390447098028,0.194390447098028,0,2.25880791604288,-27.999260144746,-0.577171647794538,99.805609552902,0.223518508422832,0.0218066837485689,0,0,2.5,coarse
2,1,0,0,0,-6.51421116965244,-28.2527998104635,-11.2944901540885,100,0.136291773428556,0.109033418742845,1,1,3,coarse
2,2,0,0,0,-10.5653434097859,-28.7578188163516,-13.9480596315799,100,0,0.245325192171401,1,1,4,coarse
3,0,0.249930574840322,0.249930574840322,0.0277700638711469,10.6870035554111,-27.9417191913401,1.74955136157479,99.7500694251597,0.361296149937902,0,0,0,3,coarse
3,0.5,0.194390447098028,0.194390447098028,0,2.25880791604288,-27.999260144746,-0.577171647794538,99.805609552902,0.344360392909563,0.0218066837485689,0,0,3.5,coarse
3,1,0,0,0,-6.51421116965244,-28.2527998104635,-11.2944901540885,100,0.316134131195664,0.109033418742845,1,1,4,coarse
3,2,0,0,0,-10.5653434097859,-28.7578188163516,-13.9480596315799,100,0.220164841368409,0.245325192171401,1,1,5,coarse
3,3,0,0,0,-10.5653434097859,-29.8342683145292,-14.0699875025535,100,0,0.361296149937902,1,1,6,coarse
5,0,0.249930574840322,0.249930574840322,0.0277700638711469,10.6870035554111,-27.9417191913401,1.74955136157479,99.7500694251597,0.779044823303602,0,0,0,5,coarse
