OuterAngleDeg,InnerAngleDeg,WorstExceedancePercent,RobustExceedancePercent,MedianExceedancePercent,MaximumIOverNDb,P95IOverNDb,PracticalPercentileIOverNDb,RobustAvailabilityPercent,RetaskDutyPercent,ShutdownDutyPercent,Feasible,PracticalFeasible,Score,SearchStage
0,0,1.88836434323799,1.88836434323799,1.72174396001111,26.4760060325639,-15.0280125795621,25.0674019040074,98.111635656762,0,0,0,0,0,coarse
0.5,0,1.88836434323799,1.88836434323799,1.72174396001111,26.4760060325639,-15.0280125795621,25.0674019040074,98.111635656762,0,0,0,0,0.5,coarse
0.5,0.5,1.88836434323799,1.88836434323799,1.72174396001111,26.4760060325639,-15.0280125795621,25.0674019040074,98.111635656762,0,0,0,0,1,coarse
1,0,1.88836434323799,1.88836434323799,1.72174396001111,26.4760060325639,-15.0280125795621,25.0674019040074,98.111635656762,0.011650937900501,0,0,0,1,coarse
1,0.5,1.88836434323799,1.88836434323799,1.72174396001111,26.4760060325639,-15.0280125795621,25.0674019040074,98.111635656762,0.011650937900501,0,0,0,1.5,coarse
1,1,1.88836434323799,1.88836434323799,1.72174396001111,26.4760060325639,-15.0280125795621,25.0674019040074,98.111635656762,0,0.011650937900501,0,0,2,coarse
2,0,1.88836434323799,1.88836434323799,1.72174396001111,26.4760060325639,-15.0280125795621,25.0674019040074,98.111635656762,0.0842886041807148,0,0,0,2,coarse
2,0.5,1.88836434323799,1.88836434323799,1.72174396001111,26.4760060325639,-15.0280125795621,25.0674019040074,98.111635656762,0.0842886041807148,0,0,0,2.5,coarse
2,1,1.88836434323799,1.88836434323799,1.72174396001111,26.4760060325639,-15.0280125795621,25.0674019040074,98.111635656762,0.0786693639020005,0.011650937900501,0,0,3,coarse
2,2,1.74951402388225,1.74951402388225,1.68008886420439,26.4760060325639,-15.4865082562486,25.0674019040074,98.2504859761177,0,0.0842886041807148,0,0,4,coarse
3,0,1.88836434323799,1.88836434323799,1.72174396001111,26.4760060325639,-15.0280125795621,25.0674019040074,98.111635656762,0.16857720836143,0,0,0,3,coarse
3,0.5,1.88836434323799,1.88836434323799,1.72174396001111,26.4760060325639,-15.0280125795621,25.0674019040074,98.111635656762,0.16857720836143,0,0,0,3.5,coarse
3,1,1.88836434323799,1.88836434323799,1.72174396001111,26.4760060325639,-15.0280125795621,25.0674019040074,98.111635656762,0.162957968082715,0.011650937900501,0,0,4,coarse
3,2,1.74951402388225,1.74951402388225,1.68008886420439,26.4760060325639,-15.4865082562486,25.0674019040074,98.2504859761177,0.0842886041807148,0.0842886041807148,0,0,5,coarse
3,3,1.74951402388225,1.74951402388225,1.58289364065537,26.4760060325639,-15.7062527619363,25.0674019040074,98.2504859761177,0,0.16857720836143,0,0,6,coarse
5,0,1.88836434323799,1.88836434323799,1.72174396001111,26.4760060325639,-15.0280125795621,25.0674019040074,98.111635656762,0.370869858395145,0,0,0,5,coarse
5,0.5,1.88836434323799,1.88836434323799,1.72174396001111,26.4760060325639,-15.0280125795621,25.0674019040074,98.111635656762,0.370869858395145,0,0,0,5.5,coarse
5,1,1.88836434323799,1.88836434323799,1.72174396001111,26.4760060325639,-15.0280125795621,25.0674019040074,98.111635656762,0.365250618116431,0.011650937900501,0,0,6,coarse
5,2,1.74951402388225,1.74951402388225,1.68008886420439,26.4760060325639,-15.4865082562486,25.0674019040074,98.2504859761177,0.28658125421443,0.0842886041807148,0,0,7,coarse
5,3,1.74951402388225,1.74951402388225,1.58289364065537,26.4760060325639,-15.7062527619363,25.0674019040074,98.2504859761177,0.202292650033715,0.16857720836143,0,0,8,coarse
5,5,1.74951402388225,1.74951402388225,1.43015828936407,26.4760060325639,-16.3074163334835,25.0674019040074,98.2504859761177,0,0.370869858395145,0,0,10,coarse
10,0,1.80505415162455,1.80505415162455,1.68008886420439,26.4760060325639,-15.0280125795621,25.0674019040074,98.1949458483755,0.972128568217577,0,0,0,10,coarse
10,0.5,1.80505415162455,1.80505415162455,1.68008886420439,26.4760060325639,-15.0280125795621,25.0674019040074,98.1949458483755,0.972128568217577,0,0,0,10.5,coarse
10,1,1.80505415162455,1.80505415162455,1.68008886420439,26.4760060325639,-15.0280125795621,25.0674019040074,98.1949458483755,0.966509327938863,0.011650937900501,0,0,11,coarse
10,2,1.7772840877534,1.7772840877534,1.58289364065537,26.4760060325639,-15.4865082562486,25.0674019040074,98.2227159122466,0.887839964036862,0.0842886041807148,0,0,12,coarse
10,3,1.7772840877534,1.7772840877534,1.48569841710636,26.4760060325639,-15.7062527619363,25.0674019040074,98.2227159122466,0.803551359856147,0.16857720836143,0,0,13,coarse
10,5,1.7772840877534,1.7772840877534,1.33296306581505,26.4760060325639,-16.3074163334835,25.0674019040074,98.2227159122466,0.601258709822432,0.370869858395145,0,0,15,coarse
10,10,1.38850319355735,1.38850319355735,1.12468758678145,26.4760060325639,-18.7710791488728,25.0674019040074,98.6114968064427,0,0.972128568217577,0,0,20,coarse
15,0,1.69397389613996,1.69397389613996,1.52735351291308,26.4760060325639,-15.0280125795621,25.0674019040074,98.30602610386,1.80939536974601,0,0,0,15,coarse
15,0.5,1.69397389613996,1.69397389613996,1.52735351291308,26.4760060325639,-15.0280125795621,25.0674019040074,98.30602610386,1.80939536974601,0,0,0,15.5,coarse
15,1,1.69397389613996,1.69397389613996,1.52735351291308,26.4760060325639,-15.0280125795621,25.0674019040074,98.30602610386,1.8037761294673,0.011650937900501,0,0,16,coarse
15,2,1.69397389613996,1.69397389613996,1.41627325742849,26.4760060325639,-15.4865082562486,25.0674019040074,98.30602610386,1.7251067655653,0.0842886041807148,0,0,17,coarse
15,3,1.69397389613996,1.69397389613996,1.31907803387948,26.4760060325639,-15.7062527619363,25.0674019040074,98.30602610386,1.64081816138458,0.16857720836143,0,0,18,coarse
15,5,1.69397389613996,1.69397389613996,1.16634268258817,26.4760060325639,-16.3074163334835,25.0674019040074,98.30602610386,1.43852551135087,0.370869858395145,0,0,20,coarse
15,10,1.3051930019439,1.3051930019439,0.958067203554568,26.4760060325639,-18.7710791488728,25.0674019040074,98.6948069980561,0.837266801528433,0.972128568217577,0,0,25,coarse
15,15,0.888642043876701,0.888642043876701,0.819216884198834,26.4760060325639,-21.4757061810816,25.0674019040074,99.1113579561233,0,1.80939536974601,0,0,30,coarse
20,0,1.47181338517079,1.47181338517079,1.23576784226604,23.8728323594935,-15.0462552543631,14.0544358370371,98.5281866148292,3.01753202966959,0,0,0,20,coarse
20,0.5,1.47181338517079,1.47181338517079,1.23576784226604,23.8728323594935,-15.0462552543631,14.0544358370371,98.5281866148292,3.01753202966959,0,0,0,20.5,coarse
20,1,1.47181338517079,1.47181338517079,1.23576784226604,23.8728323594935,-15.0462552543631,14.0544358370371,98.5281866148292,3.01191278939087,0.011650937900501,0,0,21,coarse
20,2,1.47181338517079,1.47181338517079,1.12468758678145,23.8728323594935,-15.4865082562486,14.0544358370371,98.5281866148292,2.93324342548887,0.0842886041807148,0,0,22,coarse
20,3,1.47181338517079,1.47181338517079,1.02749236323244,23.8728323594935,-15.7062527619363,13.8665503303753,98.5281866148292,2.84895482130816,0.16857720836143,0,0,23,coarse
20,5,1.47181338517079,1.47181338517079,0.874757011941127,23.8728323594935,-16.3074163334835,13.8665503303753,98.5281866148292,2.64666217127444,0.370869858395145,0,0,25,coarse
20,10,1.08303249097473,1.08303249097473,0.666481532907526,23.8728323594935,-18.7710791488728,13.8665503303753,98.9169675090253,2.04540346145201,0.972128568217577,0,0,30,coarse
20,15,0.638711469036379,0.638711469036379,0.541516245487365,23.8728323594935,-21.4757061810816,13.8665503303753,99.3612885309636,1.30490504485611,1.80939536974601,0,0,35,coarse
20,20,0.583171341294085,0.583171341294085,0.416550958067204,23.8728323594935,-22.9737119959034,13.8665503303753,99.4168286587059,0,3.01753202966959,0,0,40,coarse
25,0,1.16634268258817,1.16634268258817,0.916412107747848,22.6372972552742,-15.2576010294974,11.8504452772284,98.8336573174118,4.65454969125015,0,0,0,25,coarse
25,0.5,1.16634268258817,1.16634268258817,0.916412107747848,22.6372972552742,-15.2576010294974,11.8504452772284,98.8336573174118,4.65454969125015,0,0,0,25.5,coarse
25,1,1.16634268258817,1.16634268258817,0.902527075812274,19.2828507924109,-15.2576010294974,10.8452303233096,98.8336573174118,4.64289875334964,0.011650937900501,0,0,26,coarse
25,2,1.16634268258817,1.16634268258817,0.777561788392113,12.6422277148274,-15.6660659387584,6.81745145904021,98.8336573174118,4.57881859489689,0.0842886041807148,0,0,27,coarse
25,3,1.16634268258817,1.16634268258817,0.680366564843099,6.99635133187364,-15.8822254440987,2.44955155492959,98.8336573174118,4.50308749854363,0.16857720836143,0,0,28,coarse
25,5,1.16634268258817,1.16634268258817,0.527631213551791,4.67524633618339,-16.41915973504,0.973516555974014,98.8336573174118,4.37492718163812,0.370869858395145,0,0,30,coarse
25,10,0.777561788392113,0.777561788392113,0.319355734518189,4.67524633618339,-18.8932262113575,0.35770753344033,99.2224382116079,4.01957357567284,0.972128568217577,0,0,35,coarse
25,15,0.333240766453763,0.333240766453763,0.194390447098028,4.67524633618339,-21.4757061810816,-1.97271905862954,99.6667592335462,3.5069323080508,1.80939536974601,0,0,40,coarse
25,20,0.166620383226881,0.166620383226881,0.124965287420161,4.67524633618339,-22.9737119959034,-2.6246179986931,99.8333796167731,2.20202726319469,3.01753202966959,0,0,45,coarse
25,25,0.166620383226881,0.166620383226881,0.111080255484588,4.67524633618339,-24.5145204979016,-2.6246179986931,99.8333796167731,0,4.65454969125015,0,0,50,coarse
30,0,1.05526242710358,1.05526242710358,0.833101916134407,22.6372972552742,-15.5001494474936,11.8504452772284,98.9447375728964,8.00179815688919,0,0,0,30,coarse
30,0.5,1.05526242710358,1.05526242710358,0.833101916134407,22.6372972552742,-15.5001494474936,11.8504452772284,98.9447375728964,8.00179815688919,0,0,0,30.5,coarse
30,1,1.05526242710358,1.05526242710358,0.819216884198834,19.2828507924109,-15.5001494474936,10.8452303233096,98.9447375728964,7.99617891661047,0.011650937900501,0,0,31,coarse
30,2,1.05526242710358,1.05526242710358,0.652596500971952,12.6422277148274,-15.7819260846746,6.81745145904021,98.9447375728964,7.91750955270847,0.0842886041807148,0,0,32,coarse
30,3,1.05526242710358,1.05526242710358,0.541516245487365,6.99635133187364,-16.0217080212138,2.4322884367043,98.9447375728964,7.83322094852776,0.16857720836143,0,0,33,coarse
30,5,1.05526242710358,1.05526242710358,0.388780894196057,3.44909315044268,-16.7772510360864,0.429450093783913,98.9447375728964,7.63092829849404,0.370869858395145,0,0,35,coarse
30,10,0.666481532907526,0.666481532907526,0.222160510969175,0.491061794566463,-18.9404998968712,-0.201072600494395,99.3335184670925,7.03134102295235,0.972128568217577,0,0,40,coarse
30,15,0.222160510969175,0.222160510969175,0.0833101916134407,-1.55884643154033,-21.4757061810816,-3.55053387317407,99.7778394890308,6.5186997553303,1.80939536974601,0,0,45,coarse
30,20,0.111080255484588,0.111080255484588,0.0138850319355735,-2.20627814736113,-22.9737119959034,-6.24468900638881,99.8889197445154,5.21379471047419,3.01753202966959,0,0,50,coarse
30,25,0.111080255484588,0.111080255484588,0,-2.20627814736113,-24.5145204979016,-6.24468900638881,99.8889197445154,3.47830973252416,4.65454969125015,0,0,55,coarse
30,30,0.111080255484588,0.111080255484588,0,-2.20627814736113,-26.3763860226619,-6.24468900638881,99.8889197445154,0,8.00179815688919,0,0,60,coarse
