Time,AggregateInterferenceDbm,IOverNDb,DominantSatelliteIndex,VisibleSatelliteCount,EligibleCandidateCount,CandidateSatelliteCount,EffectiveContributorCount,PracticalSelectedIOverNDb
01-Aug-2026 00:00:00,-151.302425685597,-23.1954387390809,0,25,25,25,5,-23.1954387390809
01-Aug-2026 00:00:02,-151.607562553189,-23.5005756066735,0,25,25,25,4,-23.5005756066735
01-Aug-2026 00:00:04,-151.393048442556,-23.2860614960405,0,25,25,25,3,-23.2860614960405
01-Aug-2026 00:00:06,-168.178222508596,-40.0712355620799,0,25,25,25,3,-40.0712355620799
01-Aug-2026 00:00:08,-184.392460017167,-56.285473070651,0,25,25,25,3,-56.285473070651
01-Aug-2026 00:00:10,-184.991597402044,-56.8846104555279,0,25,25,25,2,-56.8846104555279
01-Aug-2026 00:00:12,-177.527389140029,-49.4204021935133,0,25,25,25,3,-49.4204021935133
01-Aug-2026 00:00:14,-172.942142728598,-44.835155782082,0,25,25,25,4,-44.835155782082
01-Aug-2026 00:00:16,-172.32723051453,-44.2202435680146,0,25,25,25,5,-44.2202435680146
01-Aug-2026 00:00:18,-171.742474166212,-43.6354872196957,0,25,25,25,5,-43.6354872196957
01-Aug-2026 00:00:20,-177.03708729784,-48.9301003513239,0,25,25,25,3,-48.9301003513239
01-Aug-2026 00:00:22,-177.217916089604,-49.1109291430878,0,24,24,24,3,-49.1109291430878
01-Aug-2026 00:00:24,-160.570910513565,-32.4639235670492,0,24,24,24,4,-32.4639235670492
01-Aug-2026 00:00:26,-161.526712945112,-33.4197259985962,0,24,24,24,3,-33.4197259985962
01-Aug-2026 00:00:28,-161.566276169756,-33.45928922324,0,24,24,24,3,-33.45928922324
01-Aug-2026 00:00:30,-161.924957079815,-33.817970133299,0,24,24,24,3,-33.817970133299
01-Aug-2026 00:00:32,-162.558150252337,-34.4511633058213,0,24,24,24,3,-34.4511633058213
01-Aug-2026 00:00:34,-162.585041550086,-34.4780546035701,0,24,24,24,3,-34.4780546035701
01-Aug-2026 00:00:36,-177.128363432841,-49.0213764863246,0,24,24,24,2,-49.0213764863246
01-Aug-2026 00:00:38,-176.90680483282,-48.7998178863043,0,24,24,24,2,-48.7998178863043
01-Aug-2026 00:00:40,-177.161023053552,-49.0540361070365,0,24,24,24,2,-49.0540361070365
01-Aug-2026 00:00:42,-177.530909848718,-49.4239229022021,0,24,24,24,2,-49.4239229022021
01-Aug-2026 00:00:44,-191.461077712137,-63.354090765621,0,24,24,24,1,-63.354090765621
01-Aug-2026 00:00:46,-189.043104477088,-60.9361175305721,0,24,24,24,2,-60.9361175305721
01-Aug-2026 00:00:48,-189.463521977465,-61.3565350309489,0,24,24,24,2,-61.3565350309489
01-Aug-2026 00:00:50,-186.565957739184,-58.4589707926685,0,25,25,25,3,-58.4589707926685
01-Aug-2026 00:00:52,-194.2953322377,-66.1883452911837,0,25,25,25,1,-66.1883452911837
01-Aug-2026 00:00:54,-177.210034062205,-49.1030471156896,0,25,25,25,2,-49.1030471156896
01-Aug-2026 00:00:56,-171.508932135972,-43.4019451894563,0,25,25,25,4,-43.4019451894563
01-Aug-2026 00:00:58,-171.342852505125,-43.2358655586093,0,26,26,26,4,-43.2358655586093
01-Aug-2026 00:01:00,-171.190905636424,-43.0839186899084,0,26,26,26,4,-43.0839186899084
01-Aug-2026 00:01:02,-170.867264106912,-42.7602771603964,0,26,26,26,5,-42.7602771603964
01-Aug-2026 00:01:04,-170.949148207907,-42.8421612613908,0,26,26,26,5,-42.8421612613908
01-Aug-2026 00:01:06,-155.635150223288,-27.528163276772,0,26,26,26,6,-27.528163276772
01-Aug-2026 00:01:08,-156.041310384582,-27.9343234380666,0,26,26,26,6,-27.9343234380666
01-Aug-2026 00:01:10,-155.953359257653,-27.8463723111368,0,25,25,25,6,-27.8463723111368
01-Aug-2026 00:01:12,-156.091714689328,-27.9847277428123,0,26,26,26,6,-27.9847277428123
01-Aug-2026 00:01:14,-156.07077116808,-27.9637842215639,0,26,26,26,6,-27.9637842215639
01-Aug-2026 00:01:16,-156.541152790715,-28.4341658441992,0,26,26,26,5,-28.4341658441992
01-Aug-2026 00:01:18,-156.809737169153,-28.7027502226373,0,26,26,26,5,-28.7027502226373
01-Aug-2026 00:01:20,-172.349789187884,-44.2428022413679,0,26,26,26,5,-44.2428022413679
01-Aug-2026 00:01:22,-172.5133886839,-44.4064017373844,0,26,26,26,6,-44.4064017373844
01-Aug-2026 00:01:24,-168.449988561585,-40.343001615069,0,26,26,26,7,-40.343001615069
01-Aug-2026 00:01:26,-168.132677196583,-40.0256902500668,0,25,25,25,7,-40.0256902500668
01-Aug-2026 00:01:28,-167.921851996827,-39.8148650503112,0,25,25,25,7,-39.8148650503112
01-Aug-2026 00:01:30,-167.840498031563,-39.7335110850474,0,24,24,24,6,-39.7335110850474
01-Aug-2026 00:01:32,-167.672484534123,-39.5654975876072,0,24,24,24,5,-39.5654975876072
01-Aug-2026 00:01:34,-167.402613580908,-39.2956266343925,0,24,24,24,6,-39.2956266343925
01-Aug-2026 00:01:36,-167.370509925896,-39.2635229793797,0,24,24,24,6,-39.2635229793797
01-Aug-2026 00:01:38,-171.940672730861,-43.8336857843448,0,24,24,24,5,-43.8336857843448
01-Aug-2026 00:01:40,-171.748387681999,-43.6414007354827,0,24,24,24,5,-43.6414007354827
01-Aug-2026 00:01:42,-171.626187124186,-43.51920017767,0,24,24,24,5,-43.51920017767
01-Aug-2026 00:01:44,-171.574487162367,-43.467500215851,0,24,24,24,5,-43.467500215851
01-Aug-2026 00:01:46,-176.063748854609,-47.9567619080931,0,24,24,24,5,-47.9567619080931
01-Aug-2026 00:01:48,-175.649810128028,-47.5428231815122,0,25,25,25,5,-47.5428231815122
01-Aug-2026 00:01:50,-180.147310097465,-52.0403231509489,0,25,25,25,3,-52.0403231509489
01-Aug-2026 00:01:52,-180.134944305749,-52.0279573592331,0,25,25,25,3,-52.0279573592331
01-Aug-2026 00:01:54,-180.119958654339,-52.0129717078232,0,25,25,25,3,-52.0129717078232
01-Aug-2026 00:01:56,-180.536731049538,-52.4297441030218,0,26,26,26,3,-52.4297441030218
01-Aug-2026 00:01:58,-180.208573325919,-52.1015863794036,0,26,26,26,4,-52.1015863794036
01-Aug-2026 00:02:00,-180.099000084592,-51.992013138076,0,26,26,26,4,-51.992013138076
01-Aug-2026 00:02:02,-180.079363409653,-51.9723764631372,0,25,25,25,4,-51.9723764631372
01-Aug-2026 00:02:04,-179.94600064013,-51.8390136936141,0,25,25,25,4,-51.8390136936141
01-Aug-2026 00:02:06,-180.031663151578,-51.924676205062,0,25,25,25,4,-51.924676205062
01-Aug-2026 00:02:08,-183.24488540649,-55.1378984599743,0,25,25,25,3,-55.1378984599743
01-Aug-2026 00:02:10,-182.72780930437,-54.6208223578542,0,25,25,25,4,-54.6208223578542
01-Aug-2026 00:02:12,-182.869694945243,-54.7627079987271,0,25,25,25,4,-54.7627079987271
01-Aug-2026 00:02:14,-182.935433170012,-54.8284462234959,0,25,25,25,4,-54.8284462234959
01-Aug-2026 00:02:16,-183.553827613924,-55.4468406674079,0,25,25,25,4,-55.4468406674079
01-Aug-2026 00:02:18,-183.032479649016,-54.9254927025004,0,25,25,25,4,-54.9254927025004
01-Aug-2026 00:02:20,-183.083462842866,-54.97647589635,0,25,25,25,4,-54.97647589635
01-Aug-2026 00:02:22,-180.977656479663,-52.8706695331471,0,25,25,25,5,-52.8706695331471
01-Aug-2026 00:02:24,-182.580361848212,-54.4733749016964,0,25,25,25,4,-54.4733749016964
01-Aug-2026 00:02:26,-182.205437714454,-54.0984507679386,0,25,25,25,4,-54.0984507679386
01-Aug-2026 00:02:28,-181.767862891835,-53.6608759453189,0,25,25,25,4,-53.6608759453189
01-Aug-2026 00:02:30,-183.018489829898,-54.9115028833819,0,25,25,25,3,-54.9115028833819
01-Aug-2026 00:02:32,-181.919248434346,-53.8122614878301,0,25,25,25,3,-53.8122614878301
01-Aug-2026 00:02:34,-181.325019801861,-53.2180328553452,0,25,25,25,3,-53.2180328553452
01-Aug-2026 00:02:36,-180.226169555064,-52.119182608548,0,25,25,25,3,-52.119182608548
01-Aug-2026 00:02:38,-179.744660569398,-51.6376736228822,0,26,26,26,4,-51.6376736228822
01-Aug-2026 00:02:40,-177.869268720831,-49.7622817743154,0,26,26,26,5,-49.7622817743154
01-Aug-2026 00:02:42,-177.422133101611,-49.3151461550954,0,26,26,26,5,-49.3151461550954
01-Aug-2026 00:02:44,-177.649838504636,-49.5428515581199,0,26,26,26,5,-49.5428515581199
01-Aug-2026 00:02:46,-166.259737154824,-38.1527502083086,0,26,26,26,6,-38.1527502083086
01-Aug-2026 00:02:48,-166.432624185449,-38.3256372389327,0,26,26,26,6,-38.3256372389327
01-Aug-2026 00:02:50,-166.563001807658,-38.4560148611425,0,26,26,26,6,-38.4560148611425
01-Aug-2026 00:02:52,-166.575354802165,-38.4683678556493,0,26,26,26,7,-38.4683678556493
01-Aug-2026 00:02:54,-180.711764315618,-52.6047773691022,0,26,26,26,6,-52.6047773691022
01-Aug-2026 00:02:56,-180.458722196504,-52.3517352499878,0,26,26,26,7,-52.3517352499878
01-Aug-2026 00:02:58,-180.039127742676,-51.9321407961598,0,26,26,26,8,-51.9321407961598
01-Aug-2026 00:03:00,-181.233112972452,-53.1261260259361,0,26,26,26,7,-53.1261260259361
01-Aug-2026 00:03:02,-183.048443556814,-54.9414566102977,0,24,24,24,4,-54.9414566102977
01-Aug-2026 00:03:04,-181.839966452463,-53.732979505947,0,24,24,24,5,-53.732979505947
01-Aug-2026 00:03:06,-182.192841363398,-54.0858544168818,0,25,25,25,4,-54.0858544168818
01-Aug-2026 00:03:08,-182.832167997833,-54.7251810513169,0,26,26,26,3,-54.7251810513169
01-Aug-2026 00:03:10,-182.977001681737,-54.8700147352207,0,26,26,26,3,-54.8700147352207
01-Aug-2026 00:03:12,-183.508715908204,-55.4017289616885,0,25,25,25,2,-55.4017289616885
01-Aug-2026 00:03:14,-183.553103029141,-55.4461160826254,0,25,25,25,2,-55.4461160826254
01-Aug-2026 00:03:16,-183.687017323029,-55.580030376513,0,26,26,26,2,-55.580030376513
01-Aug-2026 00:03:18,-183.874902030475,-55.7679150839592,0,26,26,26,2,-55.7679150839592
01-Aug-2026 00:03:20,-181.609379404723,-53.5023924582071,0,26,26,26,2,-53.5023924582071
01-Aug-2026 00:03:22,-181.06883023976,-52.9618432932444,0,26,26,26,2,-52.9618432932444
01-Aug-2026 00:03:24,-181.063104281597,-52.9561173350808,0,26,26,26,2,-52.9561173350808
01-Aug-2026 00:03:26,-181.30291766663,-53.195930720114,0,26,26,26,2,-53.195930720114
01-Aug-2026 00:03:28,-179.742644463602,-51.6356575170862,0,26,26,26,3,-51.6356575170862
01-Aug-2026 00:03:30,-178.840105729213,-50.7331187826973,0,26,26,26,3,-50.7331187826973
01-Aug-2026 00:03:32,-158.713141682471,-30.606154735955,0,26,26,26,4,-30.606154735955
01-Aug-2026 00:03:34,-158.389311613997,-30.282324667481,0,26,26,26,4,-30.282324667481
01-Aug-2026 00:03:36,-158.35858849625,-30.2516015497339,0,24,24,24,4,-30.2516015497339
01-Aug-2026 00:03:38,-157.720190661749,-29.6132037152329,0,25,25,25,5,-29.6132037152329
01-Aug-2026 00:03:40,-157.613477070501,-29.5064901239853,0,25,25,25,3,-29.5064901239853
01-Aug-2026 00:03:42,-157.7222844784,-29.6152975318844,0,25,25,25,3,-29.6152975318844
01-Aug-2026 00:03:44,-158.296442840377,-30.1894558938607,0,25,25,25,3,-30.1894558938607
01-Aug-2026 00:03:46,-157.19519911813,-29.0882121716145,0,25,25,25,3,-29.0882121716145
01-Aug-2026 00:03:48,-156.7589301181,-28.6519431715843,0,25,25,25,3,-28.6519431715843
01-Aug-2026 00:03:50,-156.173279037685,-28.0662920911687,0,25,25,25,3,-28.0662920911687
01-Aug-2026 00:03:52,-156.210944553416,-28.1039576069003,0,25,25,25,3,-28.1039576069003
01-Aug-2026 00:03:54,-155.946158339354,-27.8391713928378,0,25,25,25,3,-27.8391713928378
01-Aug-2026 00:03:56,-156.204830447924,-28.0978435014086,0,25,25,25,3,-28.0978435014086
01-Aug-2026 00:03:58,-155.79688888391,-27.6899019373942,0,25,25,25,3,-27.6899019373942
01-Aug-2026 00:04:00,-155.781245508523,-27.6742585620067,0,25,25,25,2,-27.6742585620067
01-Aug-2026 00:04:02,-156.02545116176,-27.9184642152438,0,25,25,25,2,-27.9184642152438
01-Aug-2026 00:04:04,-155.706069062481,-27.5990821159651,0,25,25,25,2,-27.5990821159651
01-Aug-2026 00:04:06,-187.116602180187,-59.0096152336716,0,24,24,24,2,-59.0096152336716
01-Aug-2026 00:04:08,-187.094829721982,-58.9878427754664,0,24,24,24,2,-58.9878427754664
01-Aug-2026 00:04:10,-187.303476881267,-59.1964899347508,0,24,24,24,2,-59.1964899347508
01-Aug-2026 00:04:12,-163.654703694045,-35.5477167475294,0,24,24,24,4,-35.5477167475294
01-Aug-2026 00:04:14,-163.69131591168,-35.5843289651645,0,24,24,24,3,-35.5843289651645
01-Aug-2026 00:04:16,-163.614420700462,-35.5074337539457,0,24,24,24,3,-35.5074337539457
01-Aug-2026 00:04:18,-182.472594859391,-54.3656079128752,0,24,24,24,2,-54.3656079128752
01-Aug-2026 00:04:20,-182.170259855708,-54.0632729091917,0,24,24,24,2,-54.0632729091917
01-Aug-2026 00:04:22,-181.629523629253,-53.5225366827368,0,24,24,24,3,-53.5225366827368
01-Aug-2026 00:04:24,-181.215314633707,-53.1083276871912,0,25,25,25,3,-53.1083276871912
01-Aug-2026 00:04:26,-181.354239655768,-53.2472527092518,0,25,25,25,3,-53.2472527092518
01-Aug-2026 00:04:28,-181.209642765221,-53.1026558187056,0,25,25,25,3,-53.1026558187056
01-Aug-2026 00:04:30,-181.097363082683,-52.9903761361668,0,25,25,25,3,-52.9903761361668
01-Aug-2026 00:04:32,-180.071405164254,-51.9644182177383,0,25,25,25,3,-51.9644182177383
01-Aug-2026 00:04:34,-179.768990740134,-51.662003793618,0,25,25,25,3,-51.662003793618
01-Aug-2026 00:04:36,-179.869185748323,-51.7621988018076,0,24,24,24,3,-51.7621988018076
01-Aug-2026 00:04:38,-179.64872519482,-51.5417382483039,0,24,24,24,3,-51.5417382483039
01-Aug-2026 00:04:40,-181.433335091059,-53.3263481445434,0,25,25,25,3,-53.3263481445434
01-Aug-2026 00:04:42,-180.216126676602,-52.1091397300863,0,25,25,25,4,-52.1091397300863
01-Aug-2026 00:04:44,-180.04703600011,-51.940049053594,0,25,25,25,4,-51.940049053594
01-Aug-2026 00:04:46,-168.942970090123,-40.8359831436069,0,25,25,25,5,-40.8359831436069
01-Aug-2026 00:04:48,-170.226461464153,-42.1194745176373,0,26,26,26,5,-42.1194745176373
01-Aug-2026 00:04:50,-169.664064387675,-41.5570774411592,0,26,26,26,5,-41.5570774411592
01-Aug-2026 00:04:52,-168.235377206871,-40.1283902603555,0,26,26,26,6,-40.1283902603555
01-Aug-2026 00:04:54,-166.719832184157,-38.6128452376409,0,26,26,26,7,-38.6128452376409
01-Aug-2026 00:04:56,-165.887499489445,-37.780512542929,0,26,26,26,7,-37.780512542929
01-Aug-2026 00:04:58,-165.581675864389,-37.4746889178729,0,26,26,26,8,-37.4746889178729
01-Aug-2026 00:05:00,-165.730081412273,-37.6230944657572,0,26,26,26,9,-37.6230944657572
01-Aug-2026 00:05:02,-165.75762212137,-37.6506351748541,0,26,26,26,8,-37.6506351748541
01-Aug-2026 00:05:04,-165.397136956529,-37.2901500100128,0,26,26,26,8,-37.2901500100128
01-Aug-2026 00:05:06,-165.506267256708,-37.3992803101924,0,26,26,26,7,-37.3992803101924
01-Aug-2026 00:05:08,-165.401553094186,-37.2945661476701,0,26,26,26,6,-37.2945661476701
01-Aug-2026 00:05:10,-165.105538722968,-36.9985517764522,0,26,26,26,6,-36.9985517764522
01-Aug-2026 00:05:12,-165.0480402481,-36.9410533015846,0,26,26,26,7,-36.9410533015846
01-Aug-2026 00:05:14,-165.06239256255,-36.9554056160345,0,26,26,26,7,-36.9554056160345
01-Aug-2026 00:05:16,-165.907094850356,-37.8001079038401,0,25,25,25,7,-37.8001079038401
01-Aug-2026 00:05:18,-166.785837234599,-38.6788502880835,0,24,24,24,8,-38.6788502880835
01-Aug-2026 00:05:20,-166.264475049651,-38.1574881031353,0,24,24,24,8,-38.1574881031353
01-Aug-2026 00:05:22,-166.123067922635,-38.0160809761192,0,24,24,24,8,-38.0160809761192
01-Aug-2026 00:05:24,-178.808073670016,-50.7010867234999,0,24,24,24,8,-50.7010867234999
01-Aug-2026 00:05:26,-178.53634480168,-50.4293578551643,0,24,24,24,7,-50.4293578551643
01-Aug-2026 00:05:28,-178.242068817497,-50.1350818709809,0,24,24,24,6,-50.1350818709809
01-Aug-2026 00:05:30,-177.737914756035,-49.6309278095187,0,24,24,24,6,-49.6309278095187
01-Aug-2026 00:05:32,-178.225634501106,-50.1186475545906,0,24,24,24,5,-50.1186475545906
01-Aug-2026 00:05:34,-178.041305811141,-49.9343188646247,0,24,24,24,5,-49.9343188646247
01-Aug-2026 00:05:36,-177.31819369043,-49.2112067439143,0,24,24,24,5,-49.2112067439143
01-Aug-2026 00:05:38,-176.956386963688,-48.8494000171725,0,24,24,24,4,-48.8494000171725
01-Aug-2026 00:05:40,-176.832165100319,-48.7251781538033,0,24,24,24,4,-48.7251781538033
01-Aug-2026 00:05:42,-177.032220075916,-48.9252331294005,0,26,26,26,4,-48.9252331294005
01-Aug-2026 00:05:44,-174.741500220445,-46.6345132739288,0,26,26,26,5,-46.6345132739288
01-Aug-2026 00:05:46,-175.968903011942,-47.8619160654259,0,26,26,26,4,-47.8619160654259
01-Aug-2026 00:05:48,-176.278396698374,-48.1714097518582,0,25,25,25,3,-48.1714097518582
01-Aug-2026 00:05:50,-176.497519027199,-48.390532080683,0,25,25,25,3,-48.390532080683
01-Aug-2026 00:05:52,-176.321698438239,-48.2147114917236,0,25,25,25,3,-48.2147114917236
01-Aug-2026 00:05:54,-176.400129040425,-48.2931420939091,0,25,25,25,3,-48.2931420939091
01-Aug-2026 00:05:56,-176.45706451276,-48.3500775662438,0,25,25,25,2,-48.3500775662438
01-Aug-2026 00:05:58,-176.410001225359,-48.3030142788436,0,25,25,25,3,-48.3030142788436
01-Aug-2026 00:06:00,-153.291386216541,-25.1843992700254,0,25,25,25,4,-25.1843992700254
01-Aug-2026 00:06:02,-153.336587016893,-25.2296000703768,0,25,25,25,3,-25.2296000703768
01-Aug-2026 00:06:04,-151.953354538489,-23.8463675919733,0,25,25,25,3,-23.8463675919733
01-Aug-2026 00:06:06,-151.62747680354,-23.5204898570244,0,25,25,25,3,-23.5204898570244
01-Aug-2026 00:06:08,-179.781473340629,-51.6744863941128,0,25,25,25,1,-51.6744863941128
01-Aug-2026 00:06:10,-180.214760905779,-52.1077739592636,0,25,25,25,2,-52.1077739592636
01-Aug-2026 00:06:12,-163.534951764224,-35.4279648177079,0,25,25,25,3,-35.4279648177079
01-Aug-2026 00:06:14,-163.402241370353,-35.2952544238367,0,25,25,25,2,-35.2952544238367
01-Aug-2026 00:06:16,-163.605986311328,-35.4989993648121,0,25,25,25,3,-35.4989993648121
01-Aug-2026 00:06:18,-163.764658972765,-35.6576720262496,0,25,25,25,2,-35.6576720262496
01-Aug-2026 00:06:20,-163.707284959619,-35.6002980131034,0,25,25,25,2,-35.6002980131034
01-Aug-2026 00:06:22,-163.953338629435,-35.846351682919,0,25,25,25,3,-35.846351682919
01-Aug-2026 00:06:24,-164.04327956952,-35.9362926230041,0,25,25,25,4,-35.9362926230041
01-Aug-2026 00:06:26,-164.695535855303,-36.588548908787,0,25,25,25,4,-36.588548908787
01-Aug-2026 00:06:28,-165.800315218114,-37.6933282715984,0,26,26,26,4,-37.6933282715984
01-Aug-2026 00:06:30,-165.738313518853,-37.6313265723373,0,26,26,26,5,-37.6313265723373
01-Aug-2026 00:06:32,-165.964626636585,-37.857639690069,0,26,26,26,5,-37.857639690069
01-Aug-2026 00:06:34,-165.303512538137,-37.1965255916207,0,26,26,26,5,-37.1965255916207
01-Aug-2026 00:06:36,-165.747791781441,-37.6408048349248,0,26,26,26,4,-37.6408048349248
01-Aug-2026 00:06:38,-165.681542405114,-37.5745554585979,0,26,26,26,7,-37.5745554585979
01-Aug-2026 00:06:40,-166.848174826692,-38.7411878801762,0,26,26,26,6,-38.7411878801762
01-Aug-2026 00:06:42,-168.054784125273,-39.9477971787567,0,26,26,26,7,-39.9477971787567
01-Aug-2026 00:06:44,-166.789294056502,-38.6823071099857,0,26,26,26,9,-38.6823071099857
01-Aug-2026 00:06:46,-167.602076948042,-39.4950900015265,0,26,26,26,9,-39.4950900015265
01-Aug-2026 00:06:48,-155.969403633095,-27.862416686579,0,26,26,26,12,-27.862416686579
01-Aug-2026 00:06:50,-156.137392378207,-28.030405431691,0,26,26,26,12,-28.030405431691
01-Aug-2026 00:06:52,-155.784471457719,-27.6774845112036,0,26,26,26,12,-27.6774845112036
01-Aug-2026 00:06:54,-155.435313838321,-27.3283268918049,0,25,25,25,9,-27.3283268918049
01-Aug-2026 00:06:56,-154.358865161518,-26.2518782150019,0,26,26,26,10,-26.2518782150019
01-Aug-2026 00:06:58,-154.454479367056,-26.34749242054,0,27,27,27,10,-26.34749242054
01-Aug-2026 00:07:00,-154.2150710464,-26.108084099884,0,26,26,26,8,-26.108084099884
01-Aug-2026 00:07:02,-153.81689121851,-25.7099042719938,0,25,25,25,10,-25.7099042719938
01-Aug-2026 00:07:04,-153.439351929408,-25.3323649828919,0,26,26,26,10,-25.3323649828919
01-Aug-2026 00:07:06,-153.075136393749,-24.9681494472328,0,26,26,26,10,-24.9681494472328
01-Aug-2026 00:07:08,-152.336406180023,-24.2294192335067,0,26,26,26,9,-24.2294192335067
01-Aug-2026 00:07:10,-151.981432483186,-23.8744455366702,0,26,26,26,8,-23.8744455366702
01-Aug-2026 00:07:12,-151.726346903477,-23.619359956961,0,26,26,26,8,-23.619359956961
01-Aug-2026 00:07:14,-149.321397922237,-21.2144109757216,0,26,26,26,7,-21.2144109757216
01-Aug-2026 00:07:16,-149.71232193278,-21.605334986264,0,26,26,26,9,-21.605334986264
01-Aug-2026 00:07:18,-149.71710731234,-21.6101203658238,0,26,26,26,9,-21.6101203658238
01-Aug-2026 00:07:20,-149.657601590837,-21.5506146443216,0,26,26,26,9,-21.5506146443216
01-Aug-2026 00:07:22,-148.997296608589,-20.8903096620733,0,26,26,26,9,-20.8903096620733
01-Aug-2026 00:07:24,-148.488857285127,-20.3818703386109,0,26,26,26,10,-20.3818703386109
01-Aug-2026 00:07:26,-148.324497685598,-20.2175107390825,0,25,25,25,8,-20.2175107390825
01-Aug-2026 00:07:28,-148.434397668196,-20.3274107216797,0,24,24,24,6,-20.3274107216797
01-Aug-2026 00:07:30,-147.519316495253,-19.4123295487369,0,24,24,24,6,-19.4123295487369
01-Aug-2026 00:07:32,-146.988980339654,-18.881993393138,0,25,25,25,6,-18.881993393138
01-Aug-2026 00:07:34,-148.158440025434,-20.0514530789185,0,25,25,25,5,-20.0514530789185
01-Aug-2026 00:07:36,-148.809286459686,-20.7022995131701,0,25,25,25,4,-20.7022995131701
01-Aug-2026 00:07:38,-149.54599546265,-21.439008516134,0,25,25,25,5,-21.439008516134
01-Aug-2026 00:07:40,-149.000373516509,-20.8933865699935,0,25,25,25,5,-20.8933865699935
01-Aug-2026 00:07:42,-149.766916245941,-21.6599292994252,0,25,25,25,5,-21.6599292994252
01-Aug-2026 00:07:44,-149.603799477129,-21.496812530613,0,25,25,25,8,-21.496812530613
01-Aug-2026 00:07:46,-149.854780914409,-21.7477939678926,0,25,25,25,8,-21.7477939678926
01-Aug-2026 00:07:48,-150.237555689535,-22.1305687430189,0,25,25,25,7,-22.1305687430189
01-Aug-2026 00:07:50,-150.692261690117,-22.5852747436014,0,24,24,24,6,-22.5852747436014
01-Aug-2026 00:07:52,-151.569090836371,-23.4621038898554,0,24,24,24,6,-23.4621038898554
01-Aug-2026 00:07:54,-152.787325082465,-24.6803381359496,0,24,24,24,6,-24.6803381359496
