OuterAngleDeg,InnerAngleDeg,WorstExceedancePercent,RobustExceedancePercent,MedianExceedancePercent,MaximumIOverNDb,P95IOverNDb,PracticalPercentileIOverNDb,RobustAvailabilityPercent,RetaskDutyPercent,ShutdownDutyPercent,Feasible,PracticalFeasible,Score,SearchStage
0,0,0.166620383226881,0.166620383226881,0.0833101916134407,12.8221226911567,-29.4416131643629,6.88434629097045,99.8333796167731,0,0,0,0,0,coarse
0.5,0,0.166620383226881,0.166620383226881,0.0833101916134407,12.8221226911567,-29.4416131643629,6.88434629097045,99.8333796167731,0.0107469102632993,0,0,0,0.5,coarse
0.5,0.5,0.111080255484588,0.111080255484588,0.0833101916134407,11.4379128806316,-29.4416131643629,-3.35359322440815,99.8889197445154,0,0.0107469102632993,0,0,1,coarse
1,0,0.166620383226881,0.166620383226881,0.0833101916134407,12.8221226911567,-29.4416131643629,6.88434629097045,99.8333796167731,0.0220555800617556,0,0,0,1,coarse
1,0.5,0.111080255484588,0.111080255484588,0.0833101916134407,11.4379128806316,-29.4416131643629,-3.35359322440815,99.8889197445154,0.0220555800617556,0.0107469102632993,0,0,1.5,coarse
1,1,0.111080255484588,0.111080255484588,0.0416550958067204,10.5902090924059,-29.4416131643629,-3.35359322440815,99.8889197445154,0,0.0220555800617556,0,0,2,coarse
2,0,0.166620383226881,0.166620383226881,0.0833101916134407,12.8221226911567,-29.4416131643629,6.88434629097045,99.8333796167731,0.0441111601235112,0,0,0,2,coarse
2,0.5,0.111080255484588,0.111080255484588,0.0833101916134407,11.4379128806316,-29.4416131643629,-3.35359322440815,99.8889197445154,0.0441111601235112,0.0107469102632993,0,0,2.5,coarse
2,1,0.111080255484588,0.111080255484588,0.0416550958067204,10.5902090924059,-29.4416131643629,-3.35359322440815,99.8889197445154,0.0220555800617556,0.0220555800617556,0,0,3,coarse
2,2,0.111080255484588,0.111080255484588,0.0138850319355735,10.5902090924059,-29.4416131643629,-3.40748541877238,99.8889197445154,0,0.0441111601235112,0,0,4,coarse
3,0,0.166620383226881,0.166620383226881,0.0833101916134407,12.8221226911567,-29.4416131643629,6.88434629097045,99.8333796167731,0.0661667401852669,0,0,0,3,coarse
3,0.5,0.111080255484588,0.111080255484588,0.0833101916134407,11.4379128806316,-29.4416131643629,-3.35359322440815,99.8889197445154,0.0661667401852669,0.0107469102632993,0,0,3.5,coarse
3,1,0.111080255484588,0.111080255484588,0.0416550958067204,10.5902090924059,-29.4416131643629,-3.35359322440815,99.8889197445154,0.0441111601235112,0.0220555800617556,0,0,4,coarse
3,2,0.111080255484588,0.111080255484588,0.0138850319355735,10.5902090924059,-29.4416131643629,-3.40748541877238,99.8889197445154,0.0321096007706304,0.0441111601235112,0,0,5,coarse
3,3,0.111080255484588,0.111080255484588,0.0138850319355735,10.5902090924059,-29.5706774313624,-3.40748541877238,99.8889197445154,0,0.0661667401852669,0,0,6,coarse
5,0,0.166620383226881,0.166620383226881,0.0833101916134407,12.8221226911567,-29.4416131643629,6.88434629097045,99.8333796167731,0.220555800617556,0,0,0,5,coarse
5,0.5,0.111080255484588,0.111080255484588,0.0833101916134407,11.4379128806316,-29.4416131643629,-3.35359322440815,99.8889197445154,0.220555800617556,0.0107469102632993,0,0,5.5,coarse
