Time,AggregateInterferenceDbm,IOverNDb,DominantSatelliteIndex,VisibleSatelliteCount,EligibleCandidateCount,CandidateSatelliteCount,EffectiveContributorCount,PracticalSelectedIOverNDb
01-Aug-2026 00:00:00,-159.268260791533,-31.1612738450175,0,25,25,25,6,-31.1612738450175
01-Aug-2026 00:00:02,-159.770681331281,-31.6636943847651,0,25,25,25,5,-31.6636943847651
01-Aug-2026 00:00:04,-159.770010284736,-31.6630233382198,0,25,25,25,4,-31.6630233382198
01-Aug-2026 00:00:06,-176.648118805344,-48.5411318588278,0,25,25,25,4,-48.5411318588278
01-Aug-2026 00:00:08,-190.435748238966,-62.3287612924497,0,25,25,25,3,-62.3287612924497
01-Aug-2026 00:00:10,-190.838778371574,-62.7317914250586,0,25,25,25,2,-62.7317914250586
01-Aug-2026 00:00:12,-187.253003514621,-59.1460165681053,0,25,25,25,3,-59.1460165681053
01-Aug-2026 00:00:14,-186.645784582492,-58.538797635976,0,25,25,25,4,-58.538797635976
01-Aug-2026 00:00:16,-186.129719392907,-58.0227324463912,0,25,25,25,5,-58.0227324463912
01-Aug-2026 00:00:18,-185.888899809718,-57.7819128632024,0,25,25,25,5,-57.7819128632024
01-Aug-2026 00:00:20,-187.168933812108,-59.0619468655923,0,25,25,25,3,-59.0619468655923
01-Aug-2026 00:00:22,-187.355250860769,-59.2482639142533,0,25,25,25,3,-59.2482639142533
01-Aug-2026 00:00:24,-183.642330006356,-55.5353430598403,0,26,26,26,4,-55.5353430598403
01-Aug-2026 00:00:26,-184.321089370001,-56.214102423485,0,26,26,26,3,-56.214102423485
01-Aug-2026 00:00:28,-184.292022048241,-56.1850351017254,0,26,26,26,3,-56.1850351017254
01-Aug-2026 00:00:30,-183.020437190545,-54.9134502440294,0,26,26,26,4,-54.9134502440294
01-Aug-2026 00:00:32,-183.095778841935,-54.9887918954192,0,26,26,26,4,-54.9887918954192
01-Aug-2026 00:00:34,-184.437751142802,-56.330764196286,0,26,26,26,3,-56.330764196286
01-Aug-2026 00:00:36,-187.304160504492,-59.1971735579758,0,26,26,26,2,-59.1971735579758
01-Aug-2026 00:00:38,-186.987764330128,-58.8807773836118,0,26,26,26,2,-58.8807773836118
01-Aug-2026 00:00:40,-187.043361527742,-58.9363745812261,0,26,26,26,2,-58.9363745812261
01-Aug-2026 00:00:42,-187.228613046431,-59.1216260999151,0,26,26,26,2,-59.1216260999151
01-Aug-2026 00:00:44,-197.677704446177,-69.5707174996606,0,26,26,26,1,-69.5707174996606
01-Aug-2026 00:00:46,-177.508111682677,-49.401124736161,0,25,25,25,2,-49.401124736161
01-Aug-2026 00:00:48,-179.059868141814,-50.9528811952977,0,25,25,25,2,-50.9528811952977
01-Aug-2026 00:00:50,-179.215649839705,-51.1086628931895,0,25,25,25,2,-51.1086628931895
01-Aug-2026 00:00:52,-179.763648822833,-51.6566618763167,0,25,25,25,1,-51.6566618763167
01-Aug-2026 00:00:54,-179.871669153815,-51.7646822072991,0,25,25,25,1,-51.7646822072991
01-Aug-2026 00:00:56,-179.574065559882,-51.467078613366,0,25,25,25,3,-51.467078613366
01-Aug-2026 00:00:58,-178.901570460761,-50.7945835142452,0,25,25,25,3,-50.7945835142452
01-Aug-2026 00:01:00,-179.028558828295,-50.9215718817792,0,25,25,25,3,-50.9215718817792
01-Aug-2026 00:01:02,-177.646306751043,-49.5393198045269,0,25,25,25,4,-49.5393198045269
01-Aug-2026 00:01:04,-177.300036492404,-49.1930495458884,0,25,25,25,4,-49.1930495458884
01-Aug-2026 00:01:06,-164.325525264271,-36.2185383177553,0,26,26,26,6,-36.2185383177553
01-Aug-2026 00:01:08,-165.025589744265,-36.9186027977496,0,26,26,26,6,-36.9186027977496
01-Aug-2026 00:01:10,-165.114767153635,-37.0077802071187,0,26,26,26,6,-37.0077802071187
01-Aug-2026 00:01:12,-165.503366798043,-37.3963798515274,0,25,25,25,6,-37.3963798515274
01-Aug-2026 00:01:14,-165.683396499169,-37.5764095526534,0,25,25,25,6,-37.5764095526534
01-Aug-2026 00:01:16,-166.360635171564,-38.2536482250479,0,25,25,25,5,-38.2536482250479
01-Aug-2026 00:01:18,-167.325988692318,-39.2190017458021,0,25,25,25,5,-39.2190017458021
01-Aug-2026 00:01:20,-187.077007382916,-58.9700204364003,0,25,25,25,4,-58.9700204364003
01-Aug-2026 00:01:22,-187.05446186689,-58.9474749203745,0,25,25,25,4,-58.9474749203745
01-Aug-2026 00:01:24,-173.060155795315,-44.9531688487991,0,25,25,25,5,-44.9531688487991
01-Aug-2026 00:01:26,-172.857761259085,-44.750774312569,0,24,24,24,5,-44.750774312569
01-Aug-2026 00:01:28,-172.514893223172,-44.407906276656,0,24,24,24,5,-44.407906276656
01-Aug-2026 00:01:30,-172.487732010917,-44.3807450644012,0,24,24,24,5,-44.3807450644012
01-Aug-2026 00:01:32,-172.270854770791,-44.1638678242753,0,24,24,24,4,-44.1638678242753
01-Aug-2026 00:01:34,-172.215276110467,-44.108289163951,0,24,24,24,6,-44.108289163951
01-Aug-2026 00:01:36,-171.967694122425,-43.8607071759095,0,25,25,25,6,-43.8607071759095
01-Aug-2026 00:01:38,-183.803630169063,-55.6966432225472,0,25,25,25,5,-55.6966432225472
01-Aug-2026 00:01:40,-183.685435663856,-55.5784487173405,0,25,25,25,5,-55.5784487173405
01-Aug-2026 00:01:42,-183.774253358499,-55.6672664119831,0,24,24,24,5,-55.6672664119831
01-Aug-2026 00:01:44,-184.033077331569,-55.9260903850531,0,24,24,24,5,-55.9260903850531
01-Aug-2026 00:01:46,-183.697985942405,-55.5909989958895,0,24,24,24,5,-55.5909989958895
01-Aug-2026 00:01:48,-183.370881480913,-55.263894534397,0,24,24,24,5,-55.263894534397
01-Aug-2026 00:01:50,-186.764779391705,-58.6577924451888,0,24,24,24,3,-58.6577924451888
01-Aug-2026 00:01:52,-186.784858338952,-58.6778713924361,0,24,24,24,3,-58.6778713924361
01-Aug-2026 00:01:54,-186.792357858392,-58.6853709118763,0,24,24,24,3,-58.6853709118763
01-Aug-2026 00:01:56,-186.838005325933,-58.7310183794176,0,24,24,24,3,-58.7310183794176
01-Aug-2026 00:01:58,-186.547679154425,-58.4406922079091,0,23,23,23,4,-58.4406922079091
01-Aug-2026 00:02:00,-186.467782325743,-58.3607953792272,0,23,23,23,4,-58.3607953792272
01-Aug-2026 00:02:02,-186.397115817889,-58.2901288713731,0,23,23,23,4,-58.2901288713731
01-Aug-2026 00:02:04,-186.215505442183,-58.1085184956674,0,23,23,23,4,-58.1085184956674
01-Aug-2026 00:02:06,-186.312654968017,-58.2056680215013,0,23,23,23,4,-58.2056680215013
01-Aug-2026 00:02:08,-190.139511396772,-62.0325244502559,0,23,23,23,3,-62.0325244502559
01-Aug-2026 00:02:10,-189.463485428839,-61.3564984823234,0,23,23,23,4,-61.3564984823234
01-Aug-2026 00:02:12,-189.651925624277,-61.5449386777607,0,23,23,23,4,-61.5449386777607
01-Aug-2026 00:02:14,-189.726731587665,-61.6197446411491,0,23,23,23,4,-61.6197446411491
01-Aug-2026 00:02:16,-190.360815706187,-62.2538287596707,0,23,23,23,4,-62.2538287596707
01-Aug-2026 00:02:18,-190.001196931276,-61.8942099847601,0,24,24,24,4,-61.8942099847601
01-Aug-2026 00:02:20,-190.077370315274,-61.9703833687581,0,24,24,24,4,-61.9703833687581
01-Aug-2026 00:02:22,-171.607495177803,-43.5005082312873,0,25,25,25,5,-43.5005082312873
01-Aug-2026 00:02:24,-171.470236823455,-43.3632498769387,0,25,25,25,4,-43.3632498769387
01-Aug-2026 00:02:26,-170.793476274412,-42.686489327896,0,25,25,25,4,-42.686489327896
01-Aug-2026 00:02:28,-170.162746243637,-42.055759297121,0,25,25,25,4,-42.055759297121
01-Aug-2026 00:02:30,-171.151383763264,-43.0443968167484,0,25,25,25,3,-43.0443968167484
01-Aug-2026 00:02:32,-169.880004955971,-41.7730180094552,0,25,25,25,3,-41.7730180094552
01-Aug-2026 00:02:34,-168.823538758477,-40.7165518119609,0,25,25,25,3,-40.7165518119609
01-Aug-2026 00:02:36,-167.50636296653,-39.3993760200143,0,25,25,25,3,-39.3993760200143
01-Aug-2026 00:02:38,-167.492531145792,-39.385544199276,0,25,25,25,4,-39.385544199276
01-Aug-2026 00:02:40,-166.856793896415,-38.7498069498992,0,25,25,25,5,-38.7498069498992
01-Aug-2026 00:02:42,-165.766702643158,-37.6597156966421,0,25,25,25,5,-37.6597156966421
01-Aug-2026 00:02:44,-165.961854792248,-37.8548678457317,0,25,25,25,5,-37.8548678457317
01-Aug-2026 00:02:46,-165.46174939081,-37.354762444294,0,25,25,25,6,-37.354762444294
01-Aug-2026 00:02:48,-165.550145721455,-37.4431587749394,0,25,25,25,6,-37.4431587749394
01-Aug-2026 00:02:50,-186.004345629239,-57.8973586827236,0,25,25,25,6,-57.8973586827236
01-Aug-2026 00:02:52,-185.834621569369,-57.7276346228533,0,25,25,25,7,-57.7276346228533
01-Aug-2026 00:02:54,-187.526943129152,-59.4199561826365,0,25,25,25,6,-59.4199561826365
01-Aug-2026 00:02:56,-187.242442125138,-59.1354551786226,0,25,25,25,7,-59.1354551786226
01-Aug-2026 00:02:58,-186.914835341302,-58.8078483947858,0,25,25,25,8,-58.8078483947858
01-Aug-2026 00:03:00,-188.094913804348,-59.9879268578326,0,25,25,25,7,-59.9879268578326
01-Aug-2026 00:03:02,-188.793241653003,-60.6862547064868,0,26,26,26,6,-60.6862547064868
01-Aug-2026 00:03:04,-187.833502695133,-59.7265157486168,0,26,26,26,7,-59.7265157486168
01-Aug-2026 00:03:06,-188.211809386286,-60.1048224397699,0,26,26,26,6,-60.1048224397699
01-Aug-2026 00:03:08,-188.440456273689,-60.3334693271733,0,26,26,26,5,-60.3334693271733
01-Aug-2026 00:03:10,-188.419662473648,-60.3126755271326,0,26,26,26,5,-60.3126755271326
01-Aug-2026 00:03:12,-188.463341297083,-60.3563543505668,0,26,26,26,5,-60.3563543505668
01-Aug-2026 00:03:14,-188.442997955236,-60.3360110087204,0,26,26,26,5,-60.3360110087204
01-Aug-2026 00:03:16,-188.498445503352,-60.3914585568363,0,27,27,27,5,-60.3914585568363
01-Aug-2026 00:03:18,-188.730192493082,-60.6232055465659,0,28,28,28,5,-60.6232055465659
01-Aug-2026 00:03:20,-187.782974356956,-59.6759874104397,0,28,28,28,5,-59.6759874104397
01-Aug-2026 00:03:22,-188.359253544186,-60.2522665976697,0,27,27,27,4,-60.2522665976697
01-Aug-2026 00:03:24,-188.625657052932,-60.5186701064165,0,26,26,26,3,-60.5186701064165
01-Aug-2026 00:03:26,-188.891640155154,-60.7846532086379,0,26,26,26,3,-60.7846532086379
01-Aug-2026 00:03:28,-187.572897447133,-59.4659105006173,0,26,26,26,3,-59.4659105006173
01-Aug-2026 00:03:30,-186.706935779472,-58.599948832956,0,26,26,26,3,-58.599948832956
01-Aug-2026 00:03:32,-162.166905895068,-34.0599189485525,0,26,26,26,4,-34.0599189485525
01-Aug-2026 00:03:34,-162.169878222553,-34.0628912760374,0,26,26,26,4,-34.0628912760374
01-Aug-2026 00:03:36,-161.824457447069,-33.717470500553,0,26,26,26,5,-33.717470500553
01-Aug-2026 00:03:38,-161.025290952638,-32.9183040061222,0,26,26,26,6,-32.9183040061222
01-Aug-2026 00:03:40,-160.302933105384,-32.1959461588682,0,25,25,25,4,-32.1959461588682
01-Aug-2026 00:03:42,-159.579183662512,-31.4721967159962,0,25,25,25,4,-31.4721967159962
01-Aug-2026 00:03:44,-159.399832115281,-31.2928451687647,0,25,25,25,4,-31.2928451687647
01-Aug-2026 00:03:46,-157.332187878229,-29.2252009317134,0,25,25,25,4,-29.2252009317134
01-Aug-2026 00:03:48,-155.976024150364,-27.8690372038484,0,25,25,25,4,-27.8690372038484
01-Aug-2026 00:03:50,-154.062393872798,-25.9554069262819,0,25,25,25,3,-25.9554069262819
01-Aug-2026 00:03:52,-152.941518129465,-24.8345311829492,0,25,25,25,3,-24.8345311829492
01-Aug-2026 00:03:54,-150.315277558542,-22.2082906120261,0,25,25,25,3,-22.2082906120261
01-Aug-2026 00:03:56,-147.907348420103,-19.8003614735875,0,25,25,25,3,-19.8003614735875
01-Aug-2026 00:03:58,-144.398899828365,-16.2919128818488,0,24,24,24,3,-16.2919128818488
01-Aug-2026 00:04:00,-140.869639249078,-12.7626523025621,0,25,25,25,2,-12.7626523025621
01-Aug-2026 00:04:02,-139.65118845515,-11.5442015086342,0,26,26,26,2,-11.5442015086342
01-Aug-2026 00:04:04,-140.187386467491,-12.0803995209752,0,26,26,26,2,-12.0803995209752
01-Aug-2026 00:04:06,-192.462415937873,-64.3554289913573,0,26,26,26,2,-64.3554289913573
01-Aug-2026 00:04:08,-192.458046021962,-64.3510590754464,0,26,26,26,2,-64.3510590754464
01-Aug-2026 00:04:10,-192.670277900831,-64.5632909543147,0,26,26,26,2,-64.5632909543147
01-Aug-2026 00:04:12,-186.664624163644,-58.5576372171286,0,26,26,26,4,-58.5576372171286
01-Aug-2026 00:04:14,-186.447088860398,-58.3401019138817,0,26,26,26,3,-58.3401019138817
01-Aug-2026 00:04:16,-186.142239653696,-58.0352527071799,0,26,26,26,3,-58.0352527071799
01-Aug-2026 00:04:18,-189.750559176839,-61.6435722303236,0,26,26,26,2,-61.6435722303236
01-Aug-2026 00:04:20,-189.543940253946,-61.43695330743,0,26,26,26,2,-61.43695330743
