Time,AggregateInterferenceDbm,IOverNDb,DominantSatelliteIndex,VisibleSatelliteCount,EligibleCandidateCount,CandidateSatelliteCount,EffectiveContributorCount,PracticalSelectedIOverNDb
01-Aug-2026 00:00:00,-158.463636443526,-30.3566494970099,0,25,25,25,6,-30.3566494970099
01-Aug-2026 00:00:02,-159.08180185188,-30.9748149053638,0,25,25,25,5,-30.9748149053638
01-Aug-2026 00:00:04,-159.188549497871,-31.0815625513549,0,25,25,25,4,-31.0815625513549
01-Aug-2026 00:00:06,-159.391869503997,-31.2848825574816,0,25,25,25,4,-31.2848825574816
01-Aug-2026 00:00:08,-190.435748238966,-62.3287612924497,0,25,25,25,3,-62.3287612924497
01-Aug-2026 00:00:10,-190.838778371574,-62.7317914250586,0,25,25,25,2,-62.7317914250586
01-Aug-2026 00:00:12,-187.253003514621,-59.1460165681053,0,25,25,25,3,-59.1460165681053
01-Aug-2026 00:00:14,-186.645784582492,-58.538797635976,0,25,25,25,4,-58.538797635976
01-Aug-2026 00:00:16,-186.129719392907,-58.0227324463912,0,25,25,25,5,-58.0227324463912
01-Aug-2026 00:00:18,-185.888899809718,-57.7819128632024,0,25,25,25,5,-57.7819128632024
01-Aug-2026 00:00:20,-187.168933812108,-59.0619468655923,0,25,25,25,3,-59.0619468655923
01-Aug-2026 00:00:22,-187.355250860769,-59.2482639142533,0,25,25,25,3,-59.2482639142533
01-Aug-2026 00:00:24,-183.642330006356,-55.5353430598403,0,26,26,26,4,-55.5353430598403
01-Aug-2026 00:00:26,-184.321089370001,-56.214102423485,0,26,26,26,3,-56.214102423485
01-Aug-2026 00:00:28,-184.292022048241,-56.1850351017254,0,26,26,26,3,-56.1850351017254
01-Aug-2026 00:00:30,-183.020437190545,-54.9134502440294,0,26,26,26,4,-54.9134502440294
01-Aug-2026 00:00:32,-183.095778841935,-54.9887918954192,0,26,26,26,4,-54.9887918954192
01-Aug-2026 00:00:34,-184.437751142802,-56.330764196286,0,26,26,26,3,-56.330764196286
01-Aug-2026 00:00:36,-187.304160504492,-59.1971735579758,0,26,26,26,2,-59.1971735579758
01-Aug-2026 00:00:38,-186.987764330128,-58.8807773836118,0,26,26,26,2,-58.8807773836118
01-Aug-2026 00:00:40,-187.043361527742,-58.9363745812261,0,26,26,26,2,-58.9363745812261
01-Aug-2026 00:00:42,-187.228613046431,-59.1216260999151,0,26,26,26,2,-59.1216260999151
01-Aug-2026 00:00:44,-197.677704446177,-69.5707174996606,0,26,26,26,1,-69.5707174996606
01-Aug-2026 00:00:46,-179.040335596521,-50.933348650005,0,25,25,25,2,-50.933348650005
01-Aug-2026 00:00:48,-180.658403427889,-52.5514164813733,0,25,25,25,2,-52.5514164813733
01-Aug-2026 00:00:50,-180.898488190563,-52.791501244047,0,25,25,25,2,-52.791501244047
01-Aug-2026 00:00:52,-181.546856045114,-53.439869098598,0,25,25,25,1,-53.439869098598
